,incident_type,Incident_Year,Reported_Month,Region_of_Origin,Region_of_Incident,Number_of_Dead,Minimum_Estimated_Number_of_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Migration_Route,UNSD_Geographical_Grouping
339,Incident,2015,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
340,Incident,2015,February,Latin America / Caribbean,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
341,Incident,2015,February,Latin America / Caribbean,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
342,Incident,2015,February,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
346,Split Incident,2015,February,Latin America / Caribbean,North America,6,0,0,1,4,0,1,US-Mexico border crossing,Northern America
347,Incident,2015,March,Other / Unknown,Mediterranean,10,40,0,0,0,0,1,Mediterranean Region,Uncategorized
348,Incident,2015,March,Caribbean,Caribbean,1,0,0,1,0,0,0,Other Routes,Caribbean
350,Incident,2015,March,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
353,Incident,2015,March,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
354,Incident,2015,March,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
355,Incident,2015,March,Other / Unknown,Africa,4,0,30,0,0,0,1,Western Africa / Atlantic route to the Canary Islands,Africa
356,Incident,2015,March,Eastern Africa,Asia,42,0,30,0,0,0,1,Horn of Africa to Yemen crossing,Africa
358,Incident,2015,March,Western / Southern Asia,Asia,2,0,0,0,2,0,1,EU Boarder,Asia
359,Incident,2015,March,Other / Unknown,Africa,4,8,18,0,0,1,1,Western Africa / Atlantic route to the Canary Islands,Africa
360,Incident,2015,March,Latin America / Caribbean,Central America,1,0,0,0,0,0,1,US-Mexico border crossing,Central America
361,Incident,2015,March,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
362,Incident,2015,March,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
363,Incident,2015,March,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
364,Incident,2015,March,Western / Southern Asia,Mediterranean,5,3,8,0,0,0,1,Mediterranean Region,Uncategorized
367,Incident,2015,March,Sub-Saharan Africa,Mediterranean,3,0,84,0,0,0,1,Mediterranean Region,Uncategorized
368,Incident,2015,March,Latin America / Caribbean,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
369,Incident,2015,March,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
371,Incident,2015,March,Eastern Africa,Africa,4,0,0,0,0,0,0,Sahara Desert crossing,Africa
372,Incident,2015,March,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
373,Incident,2015,March,Other / Unknown,Africa,3,0,0,0,0,0,1,Sahara Desert crossing,Africa
374,Incident,2015,March,Other / Unknown,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
375,Incident,2015,March,Other / Unknown,Africa,2,0,0,0,0,0,1,Sahara Desert crossing,Africa
382,Incident,2015,April,Caribbean,Caribbean,1,0,10,0,1,0,1,Other Routes,Caribbean
383,Incident,2015,April,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
384,Incident,2015,April,Western / Southern Asia,Mediterranean,7,4,9,0,0,0,1,Mediterranean Region,Uncategorized
387,Incident,2015,April,Eastern Africa,Mediterranean,2,0,129,1,1,0,1,Mediterranean Region,Uncategorized
388,Incident,2015,April,Other / Unknown,Mediterranean,1,0,0,0,0,0,0,Mediterranean Region,Uncategorized
390,Incident,2015,April,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
391,Incident,2015,April,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
392,Incident,2015,April,Sub-Saharan Africa,Mediterranean,9,391,144,0,0,0,1,Mediterranean Region,Uncategorized
394,Incident,2015,April,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
395,Incident,2015,April,Central America,Central America,1,2,0,2,1,0,1,US-Mexico border crossing,Central America
399,Incident,2015,April,Eastern Africa,Mediterranean,1,0,70,1,0,0,1,Mediterranean Region,Uncategorized
401,Incident,2015,April,Other / Unknown,Mediterranean,750,272,28,0,0,0,1,Mediterranean Region,Uncategorized
403,Split Incident,2015,April,Eastern Africa,Mediterranean,3,0,88,1,2,1,1,Mediterranean Region,Uncategorized
404,Incident,2015,April,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
406,Incident,2015,April,Southern Asia,Mediterranean,1,0,0,0,1,0,0,Mediterranean Region,Uncategorized
408,Incident,2015,April,Other / Unknown,Europe,14,0,36,0,0,0,0,Western Balkans,Europe
409,Incident,2015,April,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
410,Incident,2015,April,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
411,Incident,2015,April,Southern Asia,Europe,1,0,0,0,1,0,0,Western Balkans,Europe
412,Incident,2015,April,Central America,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
414,Incident,2015,April,Other / Unknown,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
415,Incident,2015,April,Other / Unknown,Africa,2,0,0,0,0,0,1,Sahara Desert crossing,Africa
416,Incident,2015,April,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
417,Incident,2015,April,Other / Unknown,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
420,Incident,2015,May,Other / Unknown,Mediterranean,3,0,31,0,0,0,1,Mediterranean Region,Uncategorized
421,Incident,2015,May,Other / Unknown,Mediterranean,10,0,0,0,0,0,1,Mediterranean Region,Uncategorized
422,Incident,2015,May,Western Africa,Mediterranean,5,41,91,0,46,0,0,Mediterranean Region,Uncategorized
426,Incident,2015,May,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
427,Incident,2015,May,Eastern Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
431,Incident,2015,May,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
435,Incident,2015,May,Central America,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
436,Incident,2015,May,Eastern Africa,Mediterranean,1,0,0,0,1,1,0,Mediterranean Region,Uncategorized
438,Incident,2015,May,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
439,Incident,2015,May,Northern Africa,Mediterranean,5,0,49,0,0,0,1,Mediterranean Region,Uncategorized
442,Incident,2015,May,Other / Unknown,Mediterranean,5,0,25,0,0,0,1,Mediterranean Region,Uncategorized
445,Incident,2015,May,Other / Unknown,Mediterranean,1,0,0,0,1,1,0,Mediterranean Region,Uncategorized
448,Incident,2015,May,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
449,Incident,2015,May,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
450,Cumulative Incident,2015,May,Latin America / Caribbean,Central America,8,0,0,0,0,0,1,US-Mexico border crossing,Central America
453,Incident,2015,May,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
454,Split Incident,2015,May,Other / Unknown,Mediterranean,17,8,454,1,0,0,0,Mediterranean Region,Uncategorized
455,Incident,2015,June,Eastern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
456,Incident,2015,May,Other / Unknown,Africa,6,0,0,0,0,0,1,Sahara Desert crossing,Africa
457,Incident,2015,May,Other / Unknown,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
458,Incident,2015,May,Other / Unknown,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
459,Incident,2015,May,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
460,Incident,2015,May,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
461,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
463,Incident,2015,June,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
466,Split Incident,2015,June,Western Africa,Africa,16,0,0,1,15,0,1,Sahara Desert crossing,Africa
467,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
468,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
469,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
470,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
471,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
473,Incident,2015,June,Other / Unknown,Africa,15,0,0,0,0,0,1,Sahara Desert crossing,Africa
475,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
476,Incident,2015,June,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
477,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
478,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
479,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
480,Incident,2015,June,Western Africa,Mediterranean,3,0,0,0,3,0,1,Mediterranean Region,Uncategorized
482,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
483,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
484,Incident,2015,June,Latin America / Caribbean,North America,1,0,19,1,0,0,0,US-Mexico border crossing,Northern America
487,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
488,Incident,2015,June,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
490,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
491,Incident,2015,June,Other / Unknown,Mediterranean,1,0,0,0,0,0,0,Mediterranean Region,Uncategorized
492,Incident,2015,June,Western / Southern Asia,Mediterranean,6,0,66,1,0,0,1,Mediterranean Region,Uncategorized
493,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
494,Incident,2015,June,Western / Southern Asia,Mediterranean,1,0,0,1,0,0,1,Mediterranean Region,Uncategorized
496,Incident,2015,June,Eastern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
497,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
498,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
499,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
500,Incident,2015,June,Eastern Africa,Europe,1,0,0,1,0,0,0,EU Boarder,Europe
501,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
502,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
503,Incident,2015,June,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
504,Incident,2015,June,Other / Unknown,Africa,2,0,0,0,0,0,1,Sahara Desert crossing,Africa
505,Incident,2015,June,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
506,Incident,2015,June,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
507,Incident,2015,June,Other / Unknown,Africa,2,0,0,0,0,0,1,Sahara Desert crossing,Africa
508,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
509,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
510,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
511,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
512,Incident,2015,July,Eastern Africa,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
516,Cumulative Incident,2015,July,Other / Unknown,Mediterranean,9,0,0,1,8,0,1,Mediterranean Region,Uncategorized
517,Incident,2015,July,Central America,Central America,1,0,0,0,1,1,1,US-Mexico border crossing,Central America
518,Incident,2015,July,Northern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
519,Incident,2015,July,Western / Southern Asia,Mediterranean,3,15,19,0,0,0,1,Mediterranean Region,Uncategorized
520,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
521,Incident,2015,July,Other / Unknown,Mediterranean,12,0,106,4,0,0,0,Mediterranean Region,Uncategorized
522,Incident,2015,July,Western / Southern Asia,Mediterranean,30,0,0,0,0,0,1,Mediterranean Region,Uncategorized
523,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
524,Incident,2015,July,Northern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
525,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
526,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
527,Incident,2015,July,Western / Southern Asia,Mediterranean,1,0,0,1,0,1,1,Mediterranean Region,Uncategorized
528,Incident,2015,July,Other / Unknown,Europe,1,0,0,0,1,0,0,Western Balkans,Europe
529,Incident,2015,July,Other / Unknown,Mediterranean,100,0,0,0,0,0,1,Mediterranean Region,Uncategorized
530,Incident,2015,July,Western / Southern Asia,Mediterranean,6,0,10,0,0,0,1,Mediterranean Region,Uncategorized
531,Incident,2015,July,Southern Asia,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
532,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
533,Incident,2015,July,Eastern Africa,Europe,1,0,0,0,1,1,1,EU Boarder,Europe
535,Incident,2015,July,Central America,Central America,3,0,0,0,3,1,1,US-Mexico border crossing,Central America
537,Incident,2015,July,Eastern Africa,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
538,Incident,2015,July,Eastern Africa,Africa,7,0,0,0,0,0,1,Sahara Desert crossing,Africa
539,Incident,2015,July,Sub-Saharan Africa,Mediterranean,40,0,0,0,0,0,1,Mediterranean Region,Uncategorized
540,Incident,2015,July,Northern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
541,Incident,2015,July,Eastern Africa,Europe,1,0,0,1,0,0,0,EU Boarder,Europe
542,Incident,2015,July,Other / Unknown,Europe,1,0,0,0,1,0,1,EU Boarder,Europe
543,Split Incident,2015,July,Southern Asia,Mediterranean,14,0,0,0,14,0,0,Mediterranean Region,Uncategorized
544,Incident,2015,July,Southern Asia,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
546,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
547,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
548,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
549,Incident,2015,July,Northern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
550,Incident,2015,July,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
551,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
552,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
553,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
554,Incident,2015,July,Other / Unknown,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
555,Incident,2015,July,Other / Unknown,Africa,3,0,0,0,0,0,0,Sahara Desert crossing,Africa
556,Incident,2015,July,Other / Unknown,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
557,Incident,2015,July,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
558,Incident,2015,July,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
559,Incident,2015,July,Other / Unknown,Africa,2,0,0,0,0,0,1,Sahara Desert crossing,Africa
560,Incident,2015,July,Other / Unknown,Africa,3,0,0,0,0,0,1,Sahara Desert crossing,Africa
561,Incident,2015,July,Other / Unknown,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
562,Incident,2015,July,Other / Unknown,Africa,3,0,0,0,0,0,0,Sahara Desert crossing,Africa
563,Incident,2015,July,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
564,Incident,2015,July,Other / Unknown,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
